id,report_id,ticker,company,date,source,doc_type,item,section_type,section_heading,chunk_index,page_start,page_end,text,source_file
7ac88f377541dfa1a4647f81055416b1-0,7ac88f377541dfa1a4647f81055416b1,NKE,nike,2025-12-05T22:06:20Z,newsapi,news,,news,"NIKE, Inc. (NKE): A Bear Case Theory",0,,,"We came across a bearish thesis on NIKE, Inc. on Uncle Stock Notess Substack. In this article, we will summarize the bulls thesis on NKE. NIKE, Inc.'s share was trading at $65.39 as of December 1st. … [+2419 chars]",https://finance.yahoo.com/news/nike-inc-nke-bear-case-220620409.html
d0e260880c6c12f6e784a2c545307eff-0,d0e260880c6c12f6e784a2c545307eff,NKE,nike,2025-12-23T12:16:21Z,newsapi,news,,news,"Market Digest: HRL, KR, MU, NKE, PCG",0,,,"Oops, something went wrong",https://finance.yahoo.com/research/reports/ARGUS_45673_MarketSummary_1766492181000/
8298c16f954431dcb0da138467024fdd-0,8298c16f954431dcb0da138467024fdd,NKE,nike,2025-12-17T18:47:56Z,newsapi,news,,news,Guggenheim Initiates Nike (NKE) at Buy on Margin Strength,0,,,"NIKE, Inc. (NYSE:NKE) is included among the 12 Best Dogs of the Dow to Invest in.
Guggenheim Initiates Nike (NKE) at Buy on Margin Strength
On December 10, Guggenheim began covering NIKE, Inc. (NYS… [+1999 chars]",https://finance.yahoo.com/news/guggenheim-initiates-nike-nke-buy-184756578.html
7cd991eba9bad7579b584ca9daa2aad3-0,7cd991eba9bad7579b584ca9daa2aad3,NKE,nike,2025-12-25T15:36:47Z,newsapi,news,,news,Nike (NKE) Jumps 4.6% as Tim Cook Hikes Stake,0,,,"We recently published 10 Stocks Lighting Up Market Ahead of Christmas. Nike Inc. (NYSE:NKE) is one of the best performers on Wednesday.
Nike Inc. jumped by 4.64 percent on Wednesday to close at $60 … [+1834 chars]",https://finance.yahoo.com/news/nike-nke-jumps-4-6-153647936.html
777093cbbccf2c9e9cba482a8cadb43d-0,777093cbbccf2c9e9cba482a8cadb43d,NKE,nike,2025-12-22T17:01:51Z,newsapi,news,,news,Earnings Disappointment Sends Nike Stock Below Key Support. Should You Buy the Dip?,0,,,"Nike (NKE) shares crashed over 10% on Dec. 19 after the footwear giant reported market-beating financials for its Q2 but issued disappointing guidance for the future.
The Beaverton-headquartered fir… [+1896 chars]",https://www.barchart.com/story/news/36746721/earnings-disappointment-sends-nike-stock-below-key-support-should-you-buy-the-dip
7e8e76df9eabd632df3989fdf36f7b65-0,7e8e76df9eabd632df3989fdf36f7b65,NKE,nike,2025-12-07T15:00:02Z,newsapi,news,,news,"As Nike Shakes Up Its C-Suite, Should You Buy, Sell, or Hold NKE Stock?",0,,,"NIKE (NKE), the global icon of sport and streetwear, is hitting the reset button at the very top. With news that the company is dramatically reshuffling its C-suite under CEO Elliott Hills Win Now pl… [+6304 chars]",https://www.barchart.com/story/news/36497105/as-nike-shakes-up-its-c-suite-should-you-buy-sell-or-hold-nke-stock
9163fef0d904587ad036a6a51872e0cd-0,9163fef0d904587ad036a6a51872e0cd,NKE,nike,2025-12-10T14:40:00Z,newsapi,news,,news,"Amazon initiated, GE Vernova upgraded: Wall Street's top analyst calls",0,,,"Guggenheim initiated coverage of Amazon.com(AMZN) with a Buy rating and $300 price target. The retail sector still seems to be perceived as ""structurally sick,"" but the firm says that ""holiday brough… [+680 chars]",https://finance.yahoo.com/news/amazon-initiated-ge-vernova-upgraded-144000835.html
fca45a1010c5d7b93d7c6143e7b0e627-0,fca45a1010c5d7b93d7c6143e7b0e627,NKE,nike,2025-12-21T15:44:50Z,newsapi,news,,news,Jim Cramer Highlights Nike Struggles,0,,,"NIKE, Inc. (NYSE:NKE) is one of the tech and consumer sector stocks that Jim Cramer talked about. Cramer mentioned the stock while discussing consumer trends, as he said:
If the Fed cuts rates, the … [+1760 chars]",https://finance.yahoo.com/news/jim-cramer-highlights-nike-struggles-154450451.html
3f6b534be9b703e03b3aa4a851c0e3c4-0,3f6b534be9b703e03b3aa4a851c0e3c4,NKE,nike,2025-12-22T17:30:13Z,newsapi,news,,news,Jim Cramer Shares How NIKE (NKE)’s Stock Could Go to a 100,0,,,"We recently published 8 Stocks on Jim Cramers Radar.  NIKE, Inc. (NYSE:NKE) is one of the stocks on Jim Cramer's radars.
NIKE, Inc. (NYSE:NKE)s turnaround has been a frequent feature of Cramers disc… [+1683 chars]",https://finance.yahoo.com/news/jim-cramer-shares-nike-nke-173013421.html
37c9f42a505939c7dcaac81a15131b2b-0,37c9f42a505939c7dcaac81a15131b2b,NKE,nike,2025-12-26T17:25:30Z,newsapi,news,,news,"I Continue to Believe Nike (NKE)’s CEO is a Winner, Says Jim Cramer",0,,,"We recently published 10 Stocks on Jim Cramers Radar.  NIKE, Inc. (NYSE:NKE) is one of the stocks on Jim Cramer's radar.
NIKE, Inc. (NYSE:NKE) is a stock that Jim Cramer frequently discusses. The fi… [+1761 chars]",https://finance.yahoo.com/news/continue-believe-nike-nke-ceo-172530452.html
6fcc8aaeb58a19bc6d951461839b10a5-0,6fcc8aaeb58a19bc6d951461839b10a5,NKE,nike,2025-12-14T18:00:02Z,newsapi,news,,news,"Inflation Data, AI Earnings and Other Can't Miss Items this Week",0,,,Markets enter a critical week still reeling from Friday's sharp selloff in technology and AI stocks following disappointing reactions to Oracle (ORCL) and Broadcom (AVGO) earnings that raised questio… [+7946 chars],https://www.barchart.com/story/news/36615132/inflation-data-ai-earnings-and-other-can-t-miss-items-this-week
