id,report_id,ticker,company,date,source,doc_type,item,section_type,section_heading,chunk_index,page_start,page_end,text,source_file
5f922d2adea94483311ca54f04ba73b9-0,5f922d2adea94483311ca54f04ba73b9,ATZ,atz,2025-12-20T10:55:01Z,newsapi,news,,news,I went to see the hype about Aritzia's Super Puff for myself. I left with a $300 coat.,0,,,"The modern taupe liquid shine Super Puff was available in an extra-large.Jordan Hart/Business Insider
<ul><li>Aritzia's Super Puff puffer coat lives up to its viral hype and popularity.</li><li>High… [+4270 chars]",https://www.businessinsider.com/aritzia-super-puff-coat-price-styles-availability-2025-12
85d06731fb1c9c177393344a45b7e707-0,85d06731fb1c9c177393344a45b7e707,ATZ,atz,2025-12-05T17:49:06Z,newsapi,news,,news,Tech Tactics: Aritzia Taps Nedap’s RFID Platform to Strengthen Store Operations,0,,,"Tech Tactics is Sourcing Journals series with brands and technology companies to discuss their latest innovations.
Aritzia is taking a more precise approach to managing its inventory.
More from Sou… [+3021 chars]",https://sourcingjournal.com/topics/technology/aritzia-nedap-rfid-enhances-store-operations-efficiency-1234791778/
ee8da6e3d769ca0df97ba314940fb9a5-0,ee8da6e3d769ca0df97ba314940fb9a5,ATZ,atz,2025-12-10T13:00:45Z,newsapi,news,,news,Gift of the Day: The World’s Most Versatile Cashmere Hoodie,0,,,"The best holiday gifts are the ones that are versatile enough to give to anyone on your list if you find yourself in a pinch, whether you get invited to a last-minute Secret Santa party or forget to … [+1275 chars]",http://www.thecut.com/article/gift-of-the-day-aritzia-cashmere-hoodie.html
7ec1e9450737c4ad4481ec624aee54b0-0,7ec1e9450737c4ad4481ec624aee54b0,ATZ,atz,2025-12-12T13:38:01Z,newsapi,news,,news,The best street-style outfits Taylor Swift has ever worn,0,,,"Taylor Swift in New York City on December 10, 2025.Patricia Schlein/Getty Images
<ul><li>Outside music, Taylor Swift is widely known for her sparkling red-carpet outfits and stage costumes.</li><li>… [+13319 chars]",https://www.businessinsider.com/taylor-swift-street-style-outfits-photos
0fed61e7630571098a8d4ec50d6cc30d-0,0fed61e7630571098a8d4ec50d6cc30d,ATZ,atz,2025-12-23T18:30:00Z,newsapi,news,,news,The Workout Sets We’ll Be Wearing on Repeat in 2026,0,,,"If youre anything like us, you might be planning to sweat out the final days of 2025 at the gym. Whether 2026 is your year to get stronger, try new workout classes, or simply move your body a little … [+723 chars]",https://www.eonline.com/news/1426523/cute-workout-sets-for-2026-that-will-actually-get-you-to-the-gym
be9c358e52f18bc4771341787867724a-0,be9c358e52f18bc4771341787867724a,ATZ,atz,2025-12-01T19:02:35Z,newsapi,news,,news,I’m Buying My Whole Winter Wardrobe During Cyber Monday,0,,,"Weve reached the point of the year between Thanksgiving and Christmas when the only thing I want to do is stay inside, watch my comfort shows, and wear comfy clothes. And when I do have to go outside… [+2616 chars]",http://www.thecut.com/article/best-cyber-monday-fashion-deals-2025.html
28a5cd5f900d1f264eb3708059937c2c-0,28a5cd5f900d1f264eb3708059937c2c,ATZ,atz,2025-12-01T14:41:03Z,newsapi,news,,news,"These Are the Best Cyber Week Deals, According to Cut Readers",0,,,"Usually our readers love a good beauty deal, but this past Cyber Weekend, you have surprised us. Our data shows youre a mixed bag this year. Yes, some of our beloved K-beauty products made the list a… [+1471 chars]",http://www.thecut.com/article/what-cut-readers-are-buying-cyber-weekend-2025.html
219d12cd8cff8c745bc39c7cb4b7453d-0,219d12cd8cff8c745bc39c7cb4b7453d,ATZ,atz,2025-12-29T12:30:40Z,newsapi,news,,news,My Top 17 Favorite Discoveries of 2025.,0,,,"While sometimes it feels like my entire life is made up of “favorites,” (it’s true), I went through and really looked at what I’ve absolutely LOVED this year. What I bought that I thought was worth i… [+4041 chars]",https://www.howsweeteats.com/2025/12/my-top-17-favorite-discoveries-of-2025/
4ebf7ebaf9f98547548b08be16bc2d71-0,4ebf7ebaf9f98547548b08be16bc2d71,ATZ,atz,2025-12-29T20:33:01Z,newsapi,news,,news,Sabrina Carpenter and I agree: This classic coat is a cold-weather essential (and it’s on sale!),0,,,"Page Six may be compensated and/or receive an affiliate commission if you click or buy through our links. Featured pricing is subject to change.
As a New Yorker with cold intolerance and a bit of an… [+3884 chars]",https://pagesix.com/style/aritzia-slouch-coat-review/
839b782f1fb4426defeea9c4e7ea4032-0,839b782f1fb4426defeea9c4e7ea4032,ATZ,atz,2025-12-01T08:30:00Z,newsapi,news,,news,"Aritzia, UGG, and more are dropping Cyber Monday fashion deals worth catching",0,,,"New York Post may be compensated and/or receive an affiliate commission if you click or buy through our links. Featured pricing is subject to change.
Cyber Week is the ultimate shopping moment, and … [+17351 chars]",https://nypost.com/shopping/cyber-monday-is-the-best-time-to-shop-clothing-deals-up-to-75-off/
