,id,report_id,ticker,company,date,source,doc_type,item,section_type,section_heading,chunk_index,page_start,page_end,text,source_file
0,0000909567-07-001490-0,0000909567-07-001490,LULU,,2007-11-29,sec,8-K,2.02,results,Results of Operations and Financial Condition (8-K),0,,,"On November 29, 2007, lululemon athletica inc. (the Company) issued a press release
announcing its financial results for the third fiscal quarter ended October 31, 2007 and certain
other information. A copy of the Companys press release is attached hereto as Exhibit 99.1 and is
incorporated herein by reference. As previously announced, the Company has scheduled a conference
call for 9:00 a.m. EST on November 29, 2007 to discuss its financial results.",nlp\raw_data\sec_filings_8k\lulu\8-K\0000909567-07-001490.txt
1,0000909567-08-000377-0,0000909567-08-000377,LULU,,2008-04-02,sec,8-K,2.02,results,Results of Operations and Financial Condition (8-K),0,,,"In
addition to reporting financial results in accordance with accounting
principles generally accepted in the United States (GAAP), the Company provides information regarding diluted earnings
per share excluding a one-time legal settlement expense attributable to the common stockholders in
the attached press release. These figures are non-GAAP financial measures, and such measures are
reconciled to their closest GAAP financial measures in the press release. The Companys management
believes that these non-GAAP financial measures provide meaningful supplemental information
regarding the Companys diluted earnings per shares applicable to common stockholders and help
investors compare current results to those in prior periods. You should not consider non-GAAP
financial measures in isolation from, and a substitute for, financial information presented in
compliance with GAAP, and non-GAAP financial measures the Company reports may not be comparable to
similarly titled items reported by other companies.",nlp\raw_data\sec_filings_8k\lulu\8-K\0000909567-08-000377.txt
2,0000909567-08-001002-0,0000909567-08-001002,LULU,,2008-09-11,sec,8-K,2.02,results,Results of Operations and Financial Condition (8-K),0,,,"On September 11, 2008, lululemon athletica inc. (the Company) issued a press release
announcing its financial results for the second fiscal quarter ended August 3, 2008 and certain
other information. A copy of the Companys press release is attached hereto as Exhibit 99.1 and is
incorporated herein by reference. As previously announced, the Company has scheduled a conference
call for 9:00 a.m. EST on September 11, 2008 to discuss financial results.",nlp\raw_data\sec_filings_8k\lulu\8-K\0000909567-08-001002.txt
3,0000909567-08-001269-0,0000909567-08-001269,LULU,,2008-12-11,sec,8-K,2.02,results,Results of Operations and Financial Condition (8-K),0,,,"On December 11, 2008, lululemon athletica inc. (the Company) issued a press release
announcing its financial results for the third fiscal quarter ended November 2, 2008 and certain
other information. A copy of the Companys press release is attached hereto as Exhibit 99.1 and is
incorporated herein by reference. As previously announced, the Company has scheduled a conference
call for 9:00 a.m. EST on December 11, 2008 to discuss financial results.",nlp\raw_data\sec_filings_8k\lulu\8-K\0000909567-08-001269.txt
4,0000945234-07-000574-0,0000945234-07-000574,LULU,,2007-09-10,sec,8-K,2.02,results,Results of Operations and Financial Condition (8-K),0,,,"On September 10, 2007, lululemon athletica inc. issued a press release announcing its financial
results for the second quarter ended July 31, 2007 and certain
other information. A copy of lululemon athleticas press release
is attached hereto as Exhibit 99.1 and is incorporated herein by reference. lululemon athletica has
scheduled a conference call for 4:30 p.m. EST on September 10, 2007 to discuss its financial
results.",nlp\raw_data\sec_filings_8k\lulu\8-K\0000945234-07-000574.txt
5,0000945234-08-000268-0,0000945234-08-000268,LULU,,2008-06-02,sec,8-K,2.02,results,Results of Operations and Financial Condition (8-K),0,,,"On
June 2, 2008, lululemon athletica inc. (the Company) issued a press release
announcing its financial results for the first fiscal quarter ended
May 4, 2008 and certain
other information. A copy of the Companys press release is attached hereto as Exhibit 99.1 and is
incorporated herein by reference. As previously announced, the Company has scheduled a conference
call for 4:30 p.m. EST on June 2, 2008 to discuss its financial results.",nlp\raw_data\sec_filings_8k\lulu\8-K\0000945234-08-000268.txt
6,0000945234-09-000081-0,0000945234-09-000081,LULU,,2009-03-26,sec,8-K,2.02,results,Results of Operations and Financial Condition (8-K),0,,,"On March 26, 2009, lululemon athletica inc. (the Company) issued a press release announcing
its financial results for the fourth fiscal quarter ended February 1, 2009 and certain other
information. A copy of the Companys press release is attached hereto as Exhibit 99.1 and is
incorporated herein by reference. As previously announced, the Company has scheduled a conference
call for 4:30 p.m. EST on March 26, 2009 to discuss financial results.",nlp\raw_data\sec_filings_8k\lulu\8-K\0000945234-09-000081.txt
7,0000950123-09-013139-0,0000950123-09-013139,LULU,,2009-06-11,sec,8-K,2.02,results,Results of Operations and Financial Condition (8-K),0,,,"On June 11, 2009, lululemon athletica inc. (the Company) issued a press release announcing
its financial results for the first fiscal quarter ended May 3, 2009 and certain other information. A copy of the Companys press release is attached hereto as Exhibit 99.1 and is incorporated
herein by reference. As previously announced, the Company has scheduled a conference call for 9:00
a.m. EST on June 11, 2009 to discuss financial results.",nlp\raw_data\sec_filings_8k\lulu\8-K\0000950123-09-013139.txt
8,0000950123-09-042260-0,0000950123-09-042260,LULU,,2009-09-10,sec,8-K,2.02,results,Results of Operations and Financial Condition (8-K),0,,,"On
September 10, 2009, lululemon athletica inc. (the “Company”)
issued a press release announcing its financial results for the second fiscal
quarter ended August 2, 2009 and certain other information. A copy of the
Company’s press release is attached hereto as Exhibit 99.1 and is
incorporated herein by reference. As previously announced, the Company has
scheduled a conference call for 9:00 a.m. EST on September 10, 2009 to
discuss financial results.",nlp\raw_data\sec_filings_8k\lulu\8-K\0000950123-09-042260.txt
9,0000950123-09-053149-0,0000950123-09-053149,LULU,,2009-10-26,sec,8-K,7.01,results,Regulation FD Disclosure (8-K),0,,,"On October 26, 2009, lululemon athletica inc. (the Company) issued a press release announcing that the Company
is raising its guidance for the third quarter of fiscal 2009 ending November 1, 2009. The Company is furnishing a copy
of the press release hereto as Exhibit 99.1.",nlp\raw_data\sec_filings_8k\lulu\8-K\0000950123-09-053149.txt
