source,ticker,title,summary,publisher,type,link,published_utc,raw_id
yfinance,ATZ.TO,The investing winners and losers that made or crushed portfolios in 2025,"Despite turmoil from the trade war, most global markets approached the end of the year in the black",Financial Post,STORY,https://ca.finance.yahoo.com/news/were-investing-winners-losers-made-135854596.html,2025-12-22 13:58:54+00:00,4f8f8b55-7a15-3280-aefa-2ba5fe1c5d60
yfinance,ATZ.TO,TSX Value Picks Including Aritzia And Two Other Stocks Estimated Below Fair Value,"As 2025 draws to a close, the Canadian market is navigating through a period of noisy but encouraging economic data, with signs of easing inflation and stabilizing labor conditions providing a constructive outlook for 2026. In this environment, identifying undervalued stocks can be particularly rewarding as investors seek opportunities beyond elevated tech valuations and explore broader equity diversification; Aritzia and two other stocks on the TSX are currently estimated to be trading below...",Simply Wall St.,STORY,https://finance.yahoo.com/news/tsx-value-picks-including-aritzia-123814821.html,2025-12-22 12:38:14+00:00,44127e76-4d51-3341-91f7-75a151c327de
yfinance,ATZ.TO,"Stifel Canada Names Gildan, KITS, and Couche-Tard as Best Consumer Ideas For 2026",Stifel Canada said Friday its best ideas for Canadian consumer names are Gildan Activewear (GIL.TO),MT Newswires,STORY,https://finance.yahoo.com/news/stifel-canada-names-gildan-kits-192311739.html,2025-12-19 19:23:11+00:00,d27b1692-49b5-37f9-8f7f-170607a64bc6
yfinance,ATZ.TO,3 TSX Growth Stocks With Up To 22% Insider Ownership,"As we approach the end of 2025, Canadian markets have shown robust performance, with the TSX climbing by 27% year-to-date amid a backdrop of central bank decisions and labor market surprises. In this environment, growth companies with significant insider ownership can be particularly appealing as they often indicate strong confidence from those closest to the business, making them worth considering for investors seeking alignment between management and shareholder interests.",Simply Wall St.,STORY,https://finance.yahoo.com/news/3-tsx-growth-stocks-22-123550701.html,2025-12-12 12:35:50+00:00,adf56cf4-fc14-38e2-8b57-4bdc4485cefa
yfinance,ATZ.TO,Tech Tactics: Aritzia Taps Nedap’s RFID Platform to Strengthen Store Operations,"Aritzia utilizes Nedap's RFID platform to streamline store operations, enhance inventory accuracy and deliver a seamless shopping experience.",Sourcing Journal,STORY,https://sourcingjournal.com/topics/technology/aritzia-nedap-rfid-enhances-store-operations-efficiency-1234791778/,2025-12-05 17:49:06+00:00,45fdbd44-5798-37fc-9b78-dbf1bb62b6f0
yfinance,ATZ.TO,Aritzia founder calls for Ottawa to scrap duty-free imports to help Canadian retailers compete at home,"The apparel retailer head also asks Ottawa ""to get out of our way,"" as he says recent immigration rules deter finding talent",Financial Post,STORY,https://ca.finance.yahoo.com/news/aritzia-founder-calls-ottawa-scrap-175331657.html,2025-12-04 17:53:31+00:00,f074fc6b-4b09-3077-9671-c79c3cbb1bcb
yfinance,ATZ.TO,"Aritzia Inc.'s (TSE:ATZ) top owners are individual investors with 42% stake, while 33% is held by institutions",Key Insights The considerable ownership by individual investors in Aritzia indicates that they collectively have a...,Simply Wall St.,STORY,https://finance.yahoo.com/news/aritzia-inc-tse-atz-top-132746720.html,2025-12-03 13:27:46+00:00,9b901b45-cdaf-3172-996c-7a6e60ed1264
yfinance,ATZ.TO,3 Stocks That Could Be Easy Wealth Builders,"Building wealth takes time and patience, but choosing quality stocks is key.",Motley Fool,STORY,https://www.fool.com/investing/2025/11/26/3-stocks-that-could-be-easy-wealth-builders/,2025-11-26 15:15:00+00:00,040aea08-e48e-3197-93c2-c39502f71c2d
yfinance,ATZ.TO,Holiday 2025: What Retailers and Prognosticators Expect,Retailers performing well this year should generate low- to midsingle-digit gains for the 2025 holiday season; others could see declines.,WWD,STORY,https://wwd.com/business-news/retail/holiday-2025-what-retailers-and-prognosticators-anticipate-1238354235/,2025-11-24 19:18:48+00:00,cdf44098-825e-3ff0-a5ed-ca28cfdf52b0
yfinance,ATZ.TO,TSX Value Picks Aritzia And 2 More Stocks Estimated Below Fair Value,"In the Canadian market, recent trends have seen mega-cap tech companies transitioning to more asset-heavy models, which may impact their margins and cash flows. With expectations for these sectors high and a potential reset on the horizon, investors might consider diversifying into undervalued stocks that offer opportunities for valuation expansion. Identifying good stocks in this environment involves looking at those with strong fundamentals that are currently estimated below fair value,...",Simply Wall St.,STORY,https://finance.yahoo.com/news/tsx-value-picks-aritzia-2-123806913.html,2025-11-19 12:38:06+00:00,49ce15b0-5c89-3ec8-ab59-1a1d9de5f766
