id,report_id,ticker,company,date,source,doc_type,item,section_type,section_heading,chunk_index,page_start,page_end,text,source_file
901f62935ab1ec782941f34fd56e02c5-0,901f62935ab1ec782941f34fd56e02c5,NKE,nike,2025-12-24T16:41:25Z,newsapi,news,,news,Apple CEO Tim Cook Buys $3 Million of Nike Shares,0,,,"Apple CEO Tim Cook disclosed a roughly $3 million open-market purchase of Nike shares this week (via Reuters).
According to a regulatory filing published yesterday, Cook purchased 50,000 Class B sha… [+1216 chars]",https://www.macrumors.com/2025/12/24/tim-cook-buys-nike-shares/
0730dad345991302372aad0c2bc823b8-0,0730dad345991302372aad0c2bc823b8,NKE,nike,2025-12-10T14:58:59Z,newsapi,news,,news,Meet Gen Z's latest obsession: A sneaker so bouncy it's banned in major races,0,,,"Asics; Hoka; Tyler Le/BI
<ul><li>A Strava report found that Asics Novablasts were more popular than similar Nike or Hoka models.</li><li>Novablasts are very cushioned and bouncy training shoes, whic… [+4726 chars]",https://www.businessinsider.com/gen-z-runners-ditching-nike-hoka-for-asics-2025-12
09dec5d562f4ad698bbddf97d919b036-0,09dec5d562f4ad698bbddf97d919b036,NKE,nike,2025-12-25T10:26:45Z,newsapi,news,,news,Tim Cook just gave Nike a much-needed holiday boost,0,,,"Tim Cook sporting a custom pair of Nike Vomero Plus sneakers at an Apple store reopening in Tokyo earlier this year.Apple
<ul><li>Tim Cook bought $3 million in Nike shares, nearly doubling his stake… [+3001 chars]",https://www.businessinsider.com/nike-tim-cook-3-million-share-purchase-2025-12
f2a7a2077a29657aef0b8ffb860f1c2b-0,f2a7a2077a29657aef0b8ffb860f1c2b,NKE,nike,2025-12-19T15:49:51Z,newsapi,news,,news,Nike is struggling to stay culturally relevant in China,0,,,"Pedestrians walk past a Nike store in China.Cheng Xin/Getty Images
<ul><li>Nike's sales in Greater China fell 17% in its most recent quarter.</li><li>Nike CEO Elliott Hill acknowledged the slump, sa… [+3530 chars]",https://www.businessinsider.com/nike-sales-decline-china-losing-cultural-relevance-2025-12
c85829c8e35c4653935d1b79c15d3785-0,c85829c8e35c4653935d1b79c15d3785,NKE,nike,2025-12-10T15:30:22Z,newsapi,news,,news,WTA signs with Mercedes in 'most significant deal in our history',0,,,"The Women's Tennis Association has announced a long-term partnership with Mercedes-Benz which has the potential to be the largest in women's sport.
The German car manufacturer will become the premie… [+1232 chars]",https://www.bbc.com/sport/tennis/articles/c14vek7e4x7o
c450e06333c89c8a32e885203c04a7ba-0,c450e06333c89c8a32e885203c04a7ba,NKE,nike,2025-12-24T14:55:08Z,newsapi,news,,news,Nike shares are up after Apple CEO Tim Cook buys $3 million in stock,0,,,"Nike shares ticked up 2% in premarket trading on Wednesday after Apple CEO Tim Cook bought nearly $3 million worth of the sportswear makers stock.Cook, who has served on Nikes board since 2005 and is… [+467 chars]","https://www.reutersconnect.com/detail?id=tag:reuters.com,2025:newsml_KBN3NO0MA:2&amp;share=true"
54021dca13b8d2f56371930dfbb38afe-0,54021dca13b8d2f56371930dfbb38afe,NKE,nike,2025-12-18T16:00:01Z,newsapi,news,,news,Nike Hardshell Luggage,0,,,"Upgrade your travel with a luxe four-piece travel set built for style and endurance. This bundle includes a carry-on, check-in suitcase, duffle, and backpack each crafted from durable polycarbonate, … [+383 chars]",https://uncrate.com/nike-hardshell-luggage/
251e0b12ad711140942113487496d38d-0,251e0b12ad711140942113487496d38d,NKE,nike,2025-12-23T14:20:21Z,newsapi,news,,news,LEGO and Nike revive the Air Max 95 Neon for a spring release next year,0,,,"LEGO and Nike make an impactful pairing. We have seen that in the past, and its a story that will repeat itself in the Spring of 2026, when the two stalwarts revive the Nike Air Max 95 in its OG colo… [+2268 chars]",https://www.yankodesign.com/2025/12/23/lego-and-nike-revive-the-air-max-95-neon-for-a-spring-release-next-year/
2f349fabfda04b7cec9d526ab69bc780-0,2f349fabfda04b7cec9d526ab69bc780,NKE,nike,2025-12-04T19:00:01Z,newsapi,news,,news,Nike ACG Zegama Trail Shoe,0,,,"Upgrade your travel with a luxe four-piece travel set built for style and endurance. This bundle includes a carry-on, check-in suitcase, duffle, and backpack each crafted from durable polycarbonate, … [+383 chars]",https://uncrate.com/nike-acg-zegama-trail-shoe/
54dc3b514740c8aaeffc1e129aaaf221-0,54dc3b514740c8aaeffc1e129aaaf221,NKE,nike,2025-12-24T16:25:06Z,newsapi,news,,news,"Tim Cook just bought 50,000 Nike shares, and investors noticed",0,,,"Apple CEO Tim Cook, whos been on Nikes board for 20 years, just doubled his stake in the company. The news helped ease a 13% drop after the companys disappointing quarterly results last week.
If you… [+1683 chars]",https://9to5mac.com/2025/12/24/tim-cook-just-bought-50000-nike-shares-investors-noticed/
1fc5290130dd60aab2a95fdf4aa2b337-0,1fc5290130dd60aab2a95fdf4aa2b337,NKE,nike,2025-12-23T21:00:59Z,newsapi,news,,news,"Today's NYT Connections: Sports Edition Hints and Answers for Dec. 24, #457",0,,,"Looking for the most recent regular Connections answers? Click here for today's Connections hints, as well as our daily answers and hints for The New York Times Mini Crossword, Wordle and Strands puz… [+1934 chars]",https://www.cnet.com/tech/gaming/todays-nyt-connections-sports-edition-hints-and-answers-for-dec-24-457/
7eb205a7ab3a51b419bec6662055b53e-0,7eb205a7ab3a51b419bec6662055b53e,NKE,nike,2025-12-12T19:00:01Z,newsapi,news,,news,Game-Worn & Signed Nike Kobe VI Grinch Sneakers,0,,,"The MeUndies Holiday Collection brings the brand's signature ultra-soft basics into festive territory with seasonal patterns, cozy loungewear, and underwear that straddle comfort and holiday cheer. T… [+330 chars]",https://uncrate.com/game-worn-signed-nike-kobe-vi-grinch-sneakers/
7ac88f377541dfa1a4647f81055416b1-0,7ac88f377541dfa1a4647f81055416b1,NKE,nike,2025-12-05T22:06:20Z,newsapi,news,,news,"NIKE, Inc. (NKE): A Bear Case Theory",0,,,"We came across a bearish thesis on NIKE, Inc. on Uncle Stock Notess Substack. In this article, we will summarize the bulls thesis on NKE. NIKE, Inc.'s share was trading at $65.39 as of December 1st. … [+2419 chars]",https://finance.yahoo.com/news/nike-inc-nke-bear-case-220620409.html
5f74886b8fc2358f37ca97108e413a82-0,5f74886b8fc2358f37ca97108e413a82,NKE,nike,2025-12-01T15:59:47Z,newsapi,news,,news,"Apple says certain iPhone SE, iPad Pro, Apple Watch models now obsolete",0,,,"Apple has updated its list of vintage and obsolete products, with five new additions to the obsolete category including the original iPhone SE, the 12.9-inch iPad Pro (2nd generation), and more. Here… [+1855 chars]",https://9to5mac.com/2025/12/01/apple-says-certain-iphone-se-ipad-pro-apple-watch-models-now-obsolete/
a7ce374106726a6de9f9c6a9e5e2373d-0,a7ce374106726a6de9f9c6a9e5e2373d,NKE,nike,2025-12-15T10:07:20Z,newsapi,news,,news,Nike Men's Court Vision Low Next Nature Shoes $45.75 + Free Shipping,0,,,"This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",https://slickdeals.net/f/18969805-nike-men-s-court-vision-low-next-nature-shoes-45-75-free-shipping
993302818f485cd3a6893f4e1f517f9e-0,993302818f485cd3a6893f4e1f517f9e,NKE,nike,2025-12-08T06:22:48Z,newsapi,news,,news,Nike Women's Dunk Low Shoes $62.25 + Free Shpping,0,,,"This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",https://slickdeals.net/f/18939652-nike-women-s-dunk-low-shoes-62-25-free-shpping
