id,report_id,ticker,company,date,source,doc_type,item,section_type,section_heading,chunk_index,page_start,page_end,text,source_file
20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct--0,20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct-,ATZ,,,bloomberg,research_note,,thesis,"Aritzia Sales Could Double on US Expansion, Greater Awareness",0,1,1,"(Bloomberg Intelligence) -- Aritzia has a long runway to expand in the US, which could double sales by 2027 as brand familiarity grows and its model of combining compelling design with broad appeal in aspirational boutiques and online allows for mostly full-price selling. Ebitda margin could expand by 800 bps as the luxury fashion retailer scales up and cuts costs. (10/31/23)",nlp\raw_data\bloomberg\atz_research\20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct-.pdf
20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct--1,20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct-,ATZ,,,bloomberg,research_note,,growth,1. Setting Up Significant White Space Potential,1,1,1,"Aritzia's plan to lift revenue 60% to C$3.5-C$3.8 billion by 2026 could prove conservative, we believe. With just 48 stores in the US, the company is still early in its expansion. Its growth plan includes three parts: opening 8-10 boutiques and expanding 3-5 a year, increasing digital sales, and raising brand awareness. Aritzia's ""everyday luxury"" niche, with on-trend design and quality fabrics is building a strong following -- over 2 billion TikTok impressions and 2 million Instagram followers, mostly unaided by marketing. A mobile app and buy online/pick up in store have yet to debut. Aritzia continues to build out distribution centers and invest in technology to enhance the customer experience, increasing support to its growing footprint and adding omnichannel capabilities. It also is creating an online marketing plan. (10/31/23) Key Points: Boutiques Total 68 in Canada, 48 in the US Digital Was 35% of Trailing 12-Month Sales Seasonality: 2H Makes Up 60% of Sales",nlp\raw_data\bloomberg\atz_research\20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct-.pdf
20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct--2,20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct-,ATZ,,,bloomberg,research_note,,growth,"Private Brands Are 95% of Sales: Wilfred 28%, Babaton 30%, TNA",2,1,1,"26%, Super Puff 7-8%, Denim Forum, Sunday Best and Reigning Champ 3-4% Each US Accounts for 51% of Sales; Canada, 49% Aritzia.com Ships to 200+ Countries Sourcing Raw Materials: China, India, Italy, Japan, South Korea, Taiwan; Finished Goods: Cambodia, China, India, Peru, Portugal, Romania, Sri Lanka, Vietnam Demographic Appeal: Women 15-45 Years Old, Household Income $100,000-$150,000",nlp\raw_data\bloomberg\atz_research\20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct-.pdf
20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct--3,20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct-,ATZ,,,bloomberg,research_note,,growth,2. Margin Can Increase at Least 500 Bps in 2024,3,1,2,"Aritzia's Ebitda margin could expand by 500 bps next year, possibly more if comparable sales are higher than expected. That compares with a projected 600-bp decline this year on higher product costs and temporary warehousing expenses. The company anticipates that margin will reach 19% by 2026 -- though we think it could climb above 20% -- as the more profitable US and online segments supersede Canada. Improving margin in 2024 will have four components: 150 bps associated with select price increases and lower product costs, 150-200 bps from about 150 initiatives such as process This report may not be modified or altered in any way. The BLOOMBERG PROFESSIONAL service and BLOOMBERG Data are owned and distributed locally by Bloomberg Finance LP (""BFLP"") and its subsidiaries in all jurisdictions other than Argentina, Bermuda, China, India, Japan and Korea (the (""BFLP Countries""). BFLP is a wholly-owned subsidiary of Bloomberg LP (""BLP""). BLP provides BFLP with all the global marketing and operational support and service for the Services and distributes the Services either directly or through a non-BFLP subsidiary in the BLP Countries. BFLP, BLP and their affiliates do not provide investment advice, and nothing herein shall constitute an offer of financial instruments by BFLP, BLP or their affiliates. improvements and vendor negotiations for total run-rate savings of C$60 million, 125 bps from eliminating temporary warehousing expenses and lease amortization, and, finally, sales leverage. (10/31/23)",nlp\raw_data\bloomberg\atz_research\20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct-.pdf
20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct--4,20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct-,ATZ,,,bloomberg,research_note,,growth,3. Digital Sales Poised to Double by 2027 (Correct),4,2,2,"Aritzia's C$800 million of digital sales could rise to C$1.6 billion by 2027 on new store openings as it attracts new customers; performance-based digital marketing, having previously done almost none; and by launching omnichannel capabilities, including buy online/pick up in store and buy online/ship from store. Omnichannel customers spend 3X single channel shoppers and have higher retention rates. A trial that launched in Canada in early September surpassed expectations, and a US rollout is set for early 2024. (Corrects digital sales potential in headline and text.) Critical to Aritzia's plan to double digital sales over the next three years is personalizing shopping via the eCommerce 2.0 initiative. Its customization uses geography and preferences to create relevant product assortments from the company's wide offering. (11/03/23)",nlp\raw_data\bloomberg\atz_research\20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct-.pdf
20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct--5,20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct-,ATZ,,,bloomberg,research_note,,growth,4. New Marketing Strategy Can Add Fuel to Growth,5,2,3,"Aritzia is developing its third growth vector -- raising brand awareness -- by incorporating a marketing plan that's primarily focused on digital. The initiative still is in its early stages as the This report may not be modified or altered in any way. The BLOOMBERG PROFESSIONAL service and BLOOMBERG Data are owned and distributed locally by Bloomberg Finance LP (""BFLP"") and its subsidiaries in all jurisdictions other than Argentina, Bermuda, China, India, Japan and Korea (the (""BFLP Countries""). BFLP is a wholly-owned subsidiary of Bloomberg LP (""BLP""). BLP provides BFLP with all the global marketing and operational support and service for the Services and distributes the Services either directly or through a non-BFLP subsidiary in the BLP Countries. BFLP, BLP and their affiliates do not provide investment advice, and nothing herein shall constitute an offer of financial instruments by BFLP, BLP or their affiliates. company builds a team and formulates a plan, but some limited paid search in 2H could boost sales, generating a bigger benefit in 2024. Stores and social media postings have been the primary drivers to raising brand awareness. In our channel checks, an Aritzia stylist of five years said that sales at its Los Angeles flagship climbed when it garnered over 2 billion views on TikTok from customer postings. (10/31/23) ""We've just started up the digital marketing...the majority of that is to protect and propel our brand and our product franchises and of course overall to drive traffic and conversion...the early indicators...we're performing at industry, if not better than industry, when we are compared to many in our peer set."" Jennifer Wong - Chief Executive Officer, Aritzia 2Q Earnings call transcript, May 2, 2024 Quote located on page 9, click to view entire transcript",nlp\raw_data\bloomberg\atz_research\20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct-.pdf
20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct--6,20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct-,ATZ,,,bloomberg,research_note,,growth,5. Distribution Network Is Set to Grow,6,3,3,"The recent opening of Aritzia's Toronto distribution center is expected to boost operating margin by 125 bps in 2024 once it subleases remaining vacated facilities and since temporary fulfillment functions have ended. Within five weeks of coming online, Toronto is performing at 90% of targeted productivity, with fill rates equal to those of the company's British Columbia center. The 150,000-square-foot structure in BC will be replaced by a 380,000-sq-ft facility nearby, which is set to break ground next year. The company operates three distribution centers: two in Canada (including the new 550,000-sq-ft Toronto facility) and one in Columbus, Ohio, that will double to 480,000 sq ft once the entire building is taken over later this year. Retrofits made to existing locations also will allow Aritzia to handle additional volume. (10/31/23)",nlp\raw_data\bloomberg\atz_research\20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct-.pdf
20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct--7,20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct-,ATZ,,,bloomberg,research_note,,growth,"Distribution Centers, Store Locations",7,3,3,"To contact the analyst for this research: Mary Ross Gilbert at mgilbert66@bloomberg.net This report may not be modified or altered in any way. The BLOOMBERG PROFESSIONAL service and BLOOMBERG Data are owned and distributed locally by Bloomberg Finance LP (""BFLP"") and its subsidiaries in all jurisdictions other than Argentina, Bermuda, China, India, Japan and Korea (the (""BFLP Countries""). BFLP is a wholly-owned subsidiary of Bloomberg LP (""BLP""). BLP provides BFLP with all the global marketing and operational support and service for the Services and distributes the Services either directly or through a non-BFLP subsidiary in the BLP Countries. BFLP, BLP and their affiliates do not provide investment advice, and nothing herein shall constitute an offer of financial instruments by BFLP, BLP or their affiliates.",nlp\raw_data\bloomberg\atz_research\20231103_Digital_Sales_Poised_to_Double_by_2027_-Correct-.pdf
20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct--0,20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct-,ATZ,,,bloomberg,research_note,,thesis,Aritzia's US Boutique Expansion Potential Looms Large (Correct),0,1,1,"(Bloomberg Intelligence) -- Aritzia can triple US sales by 2027 -- boosting revenue by almost C$700 million, we believe -- as it opens boutiques in new markets and expands existing units. The women's accessible-luxury apparel retailer may add 40-50 US shops to its current 48 and has identified 100 locations. With established peers operating well over 300 stores, growth potential is substantial. (Corrects possible revenue increase.) (11/03/23)",nlp\raw_data\bloomberg\atz_research\20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct-.pdf
20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct--1,20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct-,ATZ,,,bloomberg,research_note,,growth,1. Doubling US Fleet Can Add Over C$700 Million (Correct),1,1,1,"Aritzia's US sales could rise at a 20% CAGR through 2027, our analysis shows, as it adds 42 stores to the 48 operating at the end of 2Q -- with newer stores outperforming. The current plan is to open 8-10 boutiques and expand 3-5 existing ones each year, doubling the square footage in some cases. Without considering the lifts to comparable and e-commerce sales, Aritzia can add nearly C$700 million to revenue over the period. (Corrects possible CAGR and revenue gain, and analysis in exhibit.) Stores that opened in 2022 raised digital sales as much as 80%. There's opportunity to increase online sales separate from store growth as the Canadian company employs specific e-commerce measures. The digital sales scenario considers gains from new stores, plus recent performance- based marketing and personalization strategies. (11/03/23)",nlp\raw_data\bloomberg\atz_research\20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct-.pdf
20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct--2,20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct-,ATZ,,,bloomberg,research_note,,growth,US Boutique Expansion Scenario Analysis,2,1,1,"Source: Company Filings, Bloomberg Intelligence",nlp\raw_data\bloomberg\atz_research\20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct-.pdf
20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct--3,20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct-,ATZ,,,bloomberg,research_note,,growth,2. Boutiques' Draw Begets Strong Economics,3,1,2,"Aritzia's stores -- located exclusively in triple-A malls, lifestyle centers and streets -- average 8,000 square feet. They generate $8 million in sales in their first year, which we believe can This report may not be modified or altered in any way. The BLOOMBERG PROFESSIONAL service and BLOOMBERG Data are owned and distributed locally by Bloomberg Finance LP (""BFLP"") and its subsidiaries in all jurisdictions other than Argentina, Bermuda, China, India, Japan and Korea (the (""BFLP Countries""). BFLP is a wholly-owned subsidiary of Bloomberg LP (""BLP""). BLP provides BFLP with all the global marketing and operational support and service for the Services and distributes the Services either directly or through a non-BFLP subsidiary in the BLP Countries. BFLP, BLP and their affiliates do not provide investment advice, and nothing herein shall constitute an offer of financial instruments by BFLP, BLP or their affiliates. grow to $13 million in three. The boutiques feature an array of high-quality, well-designed apparel and draw a broad range of middle- to higher-income female customers. Stores opened over the past year fully covered the initial investment within 12 months -- some in 10 -- ahead of the company's target of 12-18 months, meaning their economics were greater than expected. Aritzia's new-shop metrics are stronger than Lululemon's two-year payback and $1,400 in sales per square foot. (11/01/23)",nlp\raw_data\bloomberg\atz_research\20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct-.pdf
20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct--4,20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct-,ATZ,,,bloomberg,research_note,,growth,Aritzia New Stores vs. Peers,4,2,2,"Source: Company Filings, Bloomberg Intelligence",nlp\raw_data\bloomberg\atz_research\20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct-.pdf
20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct--5,20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct-,ATZ,,,bloomberg,research_note,,growth,"3. Relying on Triple-A Real Estate, at a Discount",5,2,2,"With many US apparel retailers closing stores after overbuilding, Aritzia is on track to more than double its number of boutiques in high-traffic, triple-A locations over the next five years -- and still have the ability to double its footprint again. Existing stores are being expanded as well, lifting sales above expectations. Instead of retrenching during the pandemic, Aritzia grabbed the opportunity to secure superior, larger flagship locations in New York (at triple the previous size) and Chicago, along with other locations -- all at reduced costs. The flagships are set to open in",nlp\raw_data\bloomberg\atz_research\20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct-.pdf
20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct--6,20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct-,ATZ,,,bloomberg,research_note,,growth,2024. (11/01/23),6,2,2,"""We are disciplined and patient and do not compromise on our real estate selections. We look for AAA real estate, whether that be in a shopping center, a street or lifestyle center. We choose locations that have high productivity, heavy traffic and top-performing adjacencies. We have a prioritized target list that we go after.... Not a lot of retailers can say this, but all of our stores are profitable.... We're able to negotiate favorable economics and lease conditions as a result of our exquisite boutiques and great sales productivity."" Karen James - Executive vice president for real estate, Aritzia Investor day transcript, Oct. 27, 2022 Quote located on page 15, click to view entire transcript To contact the analyst for this research: Mary Ross Gilbert at mgilbert66@bloomberg.net This report may not be modified or altered in any way. The BLOOMBERG PROFESSIONAL service and BLOOMBERG Data are owned and distributed locally by Bloomberg Finance LP (""BFLP"") and its subsidiaries in all jurisdictions other than Argentina, Bermuda, China, India, Japan and Korea (the (""BFLP Countries""). BFLP is a wholly-owned subsidiary of Bloomberg LP (""BLP""). BLP provides BFLP with all the global marketing and operational support and service for the Services and distributes the Services either directly or through a non-BFLP subsidiary in the BLP Countries. BFLP, BLP and their affiliates do not provide investment advice, and nothing herein shall constitute an offer of financial instruments by BFLP, BLP or their affiliates.",nlp\raw_data\bloomberg\atz_research\20231103_Doubling_US_Fleet_Can_Add_Over_C-700_Million_-Correct-.pdf
20231107_Aritzia-s_US_Store_Build_Out-_Online_Marketing_to_Fuel_Growth-0,20231107_Aritzia-s_US_Store_Build_Out-_Online_Marketing_to_Fuel_Growth,ATZ,,,bloomberg,research_note,,thesis,"1. Aritzia's US Store Build-Out, Online Marketing to Fuel Growth",0,1,1,"(Bloomberg Intelligence) -- Aritzia's US store footprint could triple over the next several years from 48 currently, with 100 locations identified as meeting its standards. As recent boutique openings exceed hurdle rates and new e-commerce marketing takes hold, sales and margin expansion may top expectations, provided that Middle East instability doesn't escalate. The company's model of selling mostly at full price -- we estimate that it makes up 80% of sales -- distinguishes Aritzia in a US market loaded with promotions. Only Lululemon takes a similar tack, which is likely a big factor in its 26% Ebitda margin. Aritzia's 2027 target for a 19% Ebitda margin can be exceeded by 100-200 bps as the company begins to market online, since the fast growing US e-commerce business is more profitable than in-store. (11/07/23) Source: Bloomberg Interactive Calculator, Bloomberg Intelligence To contact the analyst for this research: Mary Ross Gilbert at mgilbert66@bloomberg.net This report may not be modified or altered in any way. The BLOOMBERG PROFESSIONAL service and BLOOMBERG Data are owned and distributed locally by Bloomberg Finance LP (""BFLP"") and its subsidiaries in all jurisdictions other than Argentina, Bermuda, China, India, Japan and Korea (the (""BFLP Countries""). BFLP is a wholly-owned subsidiary of Bloomberg LP (""BLP""). BLP provides BFLP with all the global marketing and operational support and service for the Services and distributes the Services either directly or through a non-BFLP subsidiary in the BLP Countries. BFLP, BLP and their affiliates do not provide investment advice, and nothing herein shall constitute an offer of financial instruments by BFLP, BLP or their affiliates.",nlp\raw_data\bloomberg\atz_research\20231107_Aritzia-s_US_Store_Build_Out-_Online_Marketing_to_Fuel_Growth.pdf
20231107_Aritzia_Sales_Could_Warm_Up_If_Cold_Sets_In-_Earnings_Outlook-0,20231107_Aritzia_Sales_Could_Warm_Up_If_Cold_Sets_In-_Earnings_Outlook,ATZ,,,bloomberg,research_note,,thesis,"1. Aritzia's Fashions Fuel Strong Sales, Margin: Earnings Outlook",0,1,1,"(Bloomberg Intelligence) -- Post-2Q Earnings Outlook: Aritzia could exceed 3Q guidance for 20- 23.5% sales growth (vs. analysts' 17.2%) and its profit-margin outlook, driven by recent store openings -- including expanded flagships -- along with e-commerce gains and the strong reception to its fashion offerings. Full-year Ebitda margin guidance of 15.5-16.5% was sustained despite higher tariff pressure (280 bps vs. 150 bps prior), and compares with 14.8% in 2024. Margin growth reflects higher markups, cost controls and reduced reliance on China. Goods sourced from China for spring/summer 2026 should account for around 5% of the total. About 12 new boutiques (six in 3Q) and five expanded and repositioned stores are planned for the full year. The company targets midteens comparable-sales growth in 3Q. (10/09/25) Highlights From Recent Results:",nlp\raw_data\bloomberg\atz_research\20231107_Aritzia_Sales_Could_Warm_Up_If_Cold_Sets_In-_Earnings_Outlook.pdf
20231107_Aritzia_Sales_Could_Warm_Up_If_Cold_Sets_In-_Earnings_Outlook-1,20231107_Aritzia_Sales_Could_Warm_Up_If_Cold_Sets_In-_Earnings_Outlook,ATZ,,,bloomberg,research_note,,earnings,Million Above Analysts' C$752 Million and 3Q Net Revenue,1,1,1,"Expected to Gain 20-23.5%, Based on Guidance Gross Margin Expanded 359 Bps to 43.8%, 250 Bps Ahead of Consensus, Driven by Occupancy Leverage and Efficiencies, More",nlp\raw_data\bloomberg\atz_research\20231107_Aritzia_Sales_Could_Warm_Up_If_Cold_Sets_In-_Earnings_Outlook.pdf
20231107_Aritzia_Sales_Could_Warm_Up_If_Cold_Sets_In-_Earnings_Outlook-2,20231107_Aritzia_Sales_Could_Warm_Up_If_Cold_Sets_In-_Earnings_Outlook,ATZ,,,bloomberg,research_note,,risk,"Inventory Up 9%, Above Estimates for 1% Increase",2,1,1,"Adjusted EPS Climbed to 59 Canadian Cents, Topping Consensus’ 39 Cents and Up From 21 Cents in 2Q24 Additional Resources: Earnings Release | NSN » Earnings Call Transcript | DOCV »",nlp\raw_data\bloomberg\atz_research\20231107_Aritzia_Sales_Could_Warm_Up_If_Cold_Sets_In-_Earnings_Outlook.pdf
