ticker,filing_type,filing_date,item,item_label,chunk_index,text,source_file
TXT,8-K,2007-11-29,2.02,Results of Operations and Financial Condition (8-K),0,"On November 29, 2007, lululemon athletica inc. (the “Company”) issued a press release announcing its financial results for the third fiscal quarter ended October 31, 2007 and certain other information. A copy of the Company’s press release is attached hereto as Exhibit 99.1 and is incorporated herein by reference. As previously announced, the Company has scheduled a conference call for 9:00 a.m. EST on November 29, 2007 to discuss its financial results.",nlp/raw_data/sec_filings_8k/lulu/8-K/0000909567-07-001490.txt
TXT,8-K,2008-04-02,2.02,Results of Operations and Financial Condition (8-K),0,"In addition to reporting financial results in accordance with accounting principles generally accepted in the United States (“GAAP”), the Company provides information regarding diluted earnings per share excluding a one-time legal settlement expense attributable to the common stockholders in the attached press release. These figures are non-GAAP financial measures, and such measures are reconciled to their closest GAAP financial measures in the press release. The Company’s management believes that these non-GAAP financial measures provide meaningful supplemental information regarding the Company’s diluted earnings per shares applicable to common stockholders and help investors compare current results to those in prior periods. You should not consider non-GAAP financial measures in isolation from, and a substitute for, financial information presented in compliance with GAAP, and non-GAAP financial measures the Company reports may not be comparable to similarly titled items reported by other companies.",nlp/raw_data/sec_filings_8k/lulu/8-K/0000909567-08-000377.txt
TXT,8-K,2008-09-11,2.02,Results of Operations and Financial Condition (8-K),0,"On September 11, 2008, lululemon athletica inc. (the “Company”) issued a press release announcing its financial results for the second fiscal quarter ended August 3, 2008 and certain other information. A copy of the Company’s press release is attached hereto as Exhibit 99.1 and is incorporated herein by reference. As previously announced, the Company has scheduled a conference call for 9:00 a.m. EST on September 11, 2008 to discuss financial results.",nlp/raw_data/sec_filings_8k/lulu/8-K/0000909567-08-001002.txt
TXT,8-K,2008-12-11,2.02,Results of Operations and Financial Condition (8-K),0,"On December 11, 2008, lululemon athletica inc. (the “Company”) issued a press release announcing its financial results for the third fiscal quarter ended November 2, 2008 and certain other information. A copy of the Company’s press release is attached hereto as Exhibit 99.1 and is incorporated herein by reference. As previously announced, the Company has scheduled a conference call for 9:00 a.m. EST on December 11, 2008 to discuss financial results.",nlp/raw_data/sec_filings_8k/lulu/8-K/0000909567-08-001269.txt
TXT,8-K,2007-09-10,2.02,Results of Operations and Financial Condition (8-K),0,"On September 10, 2007, lululemon athletica inc. issued a press release announcing its financial results for the second quarter ended July 31, 2007 and certain other information. A copy of lululemon athletica’s press release is attached hereto as Exhibit 99.1 and is incorporated herein by reference. lululemon athletica has scheduled a conference call for 4:30 p.m. EST on September 10, 2007 to discuss its financial results.",nlp/raw_data/sec_filings_8k/lulu/8-K/0000945234-07-000574.txt
TXT,8-K,2008-06-02,2.02,Results of Operations and Financial Condition (8-K),0,"On June 2, 2008, lululemon athletica inc. (the “Company”) issued a press release announcing its financial results for the first fiscal quarter ended May 4, 2008 and certain other information. A copy of the Company’s press release is attached hereto as Exhibit 99.1 and is incorporated herein by reference. As previously announced, the Company has scheduled a conference call for 4:30 p.m. EST on June 2, 2008 to discuss its financial results.",nlp/raw_data/sec_filings_8k/lulu/8-K/0000945234-08-000268.txt
TXT,8-K,2009-03-26,2.02,Results of Operations and Financial Condition (8-K),0,"On March 26, 2009, lululemon athletica inc. (the “Company”) issued a press release announcing its financial results for the fourth fiscal quarter ended February 1, 2009 and certain other information. A copy of the Company’s press release is attached hereto as Exhibit 99.1 and is incorporated herein by reference. As previously announced, the Company has scheduled a conference call for 4:30 p.m. EST on March 26, 2009 to discuss financial results.",nlp/raw_data/sec_filings_8k/lulu/8-K/0000945234-09-000081.txt
TXT,8-K,2009-06-11,2.02,Results of Operations and Financial Condition (8-K),0,"On June 11, 2009, lululemon athletica inc. (the “Company”) issued a press release announcing its financial results for the first fiscal quarter ended May 3, 2009 and certain other information. A copy of the Company’s press release is attached hereto as Exhibit 99.1 and is incorporated herein by reference. As previously announced, the Company has scheduled a conference call for 9:00 a.m. EST on June 11, 2009 to discuss financial results.",nlp/raw_data/sec_filings_8k/lulu/8-K/0000950123-09-013139.txt
TXT,8-K,2009-09-10,2.02,Results of Operations and Financial Condition (8-K),0,"On September 10, 2009, lululemon athletica inc. (the “Company”) issued a press release announcing its financial results for the second fiscal quarter ended August 2, 2009 and certain other information. A copy of the Company’s press release is attached hereto as Exhibit 99.1 and is incorporated herein by reference. As previously announced, the Company has scheduled a conference call for 9:00 a.m. EST on September 10, 2009 to discuss financial results.",nlp/raw_data/sec_filings_8k/lulu/8-K/0000950123-09-042260.txt
TXT,8-K,2009-10-26,7.01,Regulation FD Disclosure (8-K),0,"On October 26, 2009, lululemon athletica inc. (the “Company”) issued a press release announcing that the Company is raising its guidance for the third quarter of fiscal 2009 ending November 1, 2009. The Company is furnishing a copy of the press release hereto as Exhibit 99.1.",nlp/raw_data/sec_filings_8k/lulu/8-K/0000950123-09-053149.txt
