Date,Close
12/19/2025,117.38
12/12/2025,113.82
12/05/2025,113.29
11/28/2025,110.5
11/21/2025,105.95
11/14/2025,97.42
11/07/2025,94.75
10/31/2025,97.97
10/24/2025,95.05
10/17/2025,89.76
10/10/2025,86
10/03/2025,82.88
9/26/2025,86.42
9/19/2025,89.8
09/12/2025,84.25
09/05/2025,83.4
8/29/2025,82.22
8/22/2025,79.41
8/15/2025,76.18
08/08/2025,72.6
08/01/2025,73.61
7/25/2025,74.75
7/18/2025,75.31
07/11/2025,75.14
07/04/2025,74.02
6/27/2025,69.39
6/20/2025,66.07
6/13/2025,65.2
06/06/2025,67.65
5/30/2025,66.6
5/23/2025,64
5/16/2025,66.25
05/09/2025,59.03
05/02/2025,56.42
4/25/2025,47.39
4/18/2025,42.08
04/11/2025,41.91
04/04/2025,42.19
3/28/2025,50.83
3/21/2025,51.86
3/14/2025,52.4
03/07/2025,58.2
2/28/2025,66.64
2/21/2025,66.41
2/14/2025,68.63
02/07/2025,70.4
1/31/2025,69.9
1/24/2025,71.17
1/17/2025,67.86
01/10/2025,67.86
01/03/2025,57.6
12/27/2024,53.72
12/20/2024,53.95
12/13/2024,50.38
12/06/2024,49.39
11/29/2024,46.64
11/22/2024,43.81
11/15/2024,45.51
11/08/2024,45.6
11/01/2024,45.6
10/25/2024,43.19
10/18/2024,45.1
10/11/2024,47.2
10/04/2024,51.24
9/27/2024,48.99
9/20/2024,48.69
9/13/2024,47.37
09/06/2024,44.73
8/30/2024,46.1
8/23/2024,45.58
8/16/2024,44.9
08/09/2024,42.46
08/02/2024,42.6
7/26/2024,45.5
7/19/2024,46.89
07/12/2024,47.66
07/05/2024,39.14
6/28/2024,38.72
6/21/2024,37.25
6/14/2024,37.7
06/07/2024,36.4
5/31/2024,34.05
5/24/2024,32.98
5/17/2024,34
05/10/2024,34.49
05/03/2024,35.82
4/26/2024,33.51
4/19/2024,33.05
04/12/2024,33.09
04/05/2024,35.24
3/29/2024,37.4
3/22/2024,37.23
3/15/2024,36.96
03/08/2024,35.44
03/01/2024,35.29
2/23/2024,36.43
